# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「だから、オートマタのボディは痛みが無くても\n<ruby=こんぱく>魂魄</ruby>が、魂が痛みを感じているッス。」	“所以，即使自动人偶的身体感觉不到疼痛，\n<ruby=こんぱく>魂魄</ruby>，也就是灵魂，仍然会感到痛。”
<Off><Character=メカユート>困惑2	<Off><Character=メカユート>困惑2
「な……なるほど、わからん。」	“原……原来如此，我不懂。”
「いいですか川島さん。\nやる前から無理とか無駄とか、言い訳付けて\n諦めるのはよくないッス。」	“听好了，川岛先生。\n还没开始就找借口说不行、没用，然后放弃，\n可不是什么好事。”
「何故やる前から諦めるんスか？」	“为什么还没做就放弃？”
<Off><Character=メカユート>困惑3	<Off><Character=メカユート>困惑3
「いやだって、この状況じゃ…っ！」	“不是，因为现在这种情况……”
「だってもヘチマも無いッス！」	“没有什么‘因为’！”
「このままユリせんせーを…自分のお姉ちゃんが\nフェイリクスの彼女にされてメロメロしているのを\n指をくわえて見ているってんですか？」	“难道你要就这样眼睁睁看着百合老师……\n看着自己的姐姐成为费利克斯的女朋友、对他神魂颠倒，\n却只能束手旁观吗？”
「そ、それは……ッ！！」	“这、这个……！！”
（俺がノヴァに言い返そうとした時、\nどこからともな<ruby=どうろひょうしき>道路標識</ruby>のポールが壁に突き刺さった。）	（就在我想反驳诺瓦时，\n不知从哪里飞来的<ruby=どうろひょうしき>道路标识</ruby>杆插进了墙壁。）
「な、なんじゃこりゃあッ！？」	“这、这是什么鬼东西！？”
「見つけたわよッ！暴走オートマタッ！」	“找到你了！暴走自动人偶！”
「あ、盾守パイセンだ。」	“啊，是盾守前辈。”
「な…っ！\nなんであんたがここに居るのよノヴァ！」	“什么……！\n你为什么会在这里，诺瓦！”
「忘れてたんスか盾守パイセン。\n自分は<ruby=しんしゅつきぼつ>神出鬼没</ruby>。どこにでも現れるという事が。」	“盾守前辈，你忘了吗？\n我可是<ruby=しんしゅつきぼつ>神出鬼没</ruby>，哪里都能出现。”
「ま、まぁ確かに\nあんたはどこにでも<ruby=わ>湧</ruby>いて出るわよね。」	“这、这倒也是，\n你确实到处都会<ruby=わ>冒</ruby>出来。”
<Off><Character=メカユート>困惑	<Off><Character=メカユート>困惑
「なんかゴキブリみたいだな。」	“怎么感觉像蟑螂一样。”
「うわ。失礼な言い方ッスねー。\nノヴァちゃんの好感度が５ポイント下がったッスよ。」	“哇，这说法真失礼。\n诺瓦酱的好感度下降5点了哦。”
「好感度の増減を\n自分から報告するヒロインとか珍しいな。」	“会主动报告好感度变化的女主角，\n还真少见。”
「まぁいいわ！」	“算了！”
「ユートが直々に私に暴走オートマタを始末するように\n命令してくれてね。」	“悠斗亲自命令我来处理暴走自动人偶，\n所以我就来了。”
「あんたを倒す為に\nこのオートマタを貸してくれたってわけよ！」	“为了打倒你，\n他还把这台自动人偶借给了我！”
<Character=オートマタA>	<Character=オートマタA>
「目標確認。<ruby=かたばん>型番</ruby>を<ruby=しょうごう>照合</ruby>。\nターゲットを<ruby=サイファー>CIPHER</ruby>-09と確認。」	“确认目标。<ruby=かたばん>型号</ruby><ruby=しょうごう>核对</ruby>。\n确认目标为<ruby=サイファー>CIPHER</ruby>-09。”
「戦闘モードに移行します。」	“切换至战斗模式。”
「なんだあのオンボロオートマタは……。」	“那台破旧的自动人偶是什么……”
「オンボロオートマタって言うなぁっ！\nユートが私の為に貸してくれたオートマタなんだから！」	“不许说是破旧自动人偶！\n那可是悠斗为了我借来的自动人偶！”
「川島さん。確かにオンボロッスけど\n油断しない方がいいッス。」	“川岛先生，它确实很破旧，\n但还是别掉以轻心。”
「知っているのか？ノヴァ。」	“你知道这台机体？诺瓦。”
<Off>怒り2	<Off>愤怒2
「基本ボディは<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいいちせだいがたせいそうさぎょうよう>第一世代型清掃作業用</ruby>オートマタ。\n<ruby=カンタダ>KANDATA</ruby>-Type-β……ッスけど戦闘用にカスタムされてるッスね。」	“基础机体是<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>的<ruby=だいいちせだいがたせいそうさぎょうよう>第一代清扫作业型</ruby>自动人偶。\n虽然是<ruby=カンタダ>KANDATA</ruby>-Type-β……但被改装成了战斗用。”
「ふっふっふ。その通り。\n見た目はオンボロでもパワーは\n<ruby=ぐんじよう>軍事用</ruby>オートマタにも<ruby=ひってき>匹敵</ruby>する程のものよ。」	“呵呵呵，正是如此。\n外表虽然破旧，力量\n却足以和<ruby=ぐんじよう>军用</ruby>自动人偶<ruby=ひってき>匹敌</ruby>。”
「この超パワーであんたをスクラップにしてあげるわ！」	“我要用这股超强力量把你变成废铁！”
「く…っ！じょ、冗談じゃねえ…っ！\nこんなところで死んでたまるか！\n俺は逃げるぜ…っ！」	“呜……！别、别开玩笑了……！\n我才不要死在这种地方！\n我要逃了……”
「ちょ、川島さん。\nどさくさに<ruby=まぎ>紛</ruby>れて\n死亡フラグ立てないでくださいッス。」	“等下，川岛先生。\n别趁乱<ruby=まぎ>混</ruby>进来，\n别立什么死亡旗啊。”
「うるせー！じゃあどうしろってんだよ！」	“吵死了！那你说我该怎么办！”
「もちろん、戦って勝つんスよ。\n<ruby=せいせいどうどう>正々堂々</ruby>と正面から。」	“当然是战斗并取胜。\n<ruby=せいせいどうどう>堂堂正正</ruby>地从正面迎战。”
<Off><Character=メカユート>笑顔	<Off><Character=メカユート>笑脸
「な、なるほど…！\n確かにお前は<ruby=だいさんせだいがた>第三世代型</ruby>のオートマタ…！\nあのオンボロより新型だ！勝ち目はあるって事か！」	“原、原来如此……！\n你确实是<ruby=だいさんせだいがた>第三代机型</ruby>自动人偶……！\n比那台破旧机体更新型！也就是说我们有胜算！”
「く…っ！ノヴァ…っ！\nまさかこの私と戦おうというの…！？」	“唔……！诺瓦……！\n你难道想和我战斗……！？”
「いや、戦うのは自分では無いッス。」	“不，战斗的不是我。”
ユート／アメリア	悠斗／艾米莉亚
<Off>驚き4	<Off>惊讶4
「は？」	“哈？”
「戦うのはこのオートマタッス！」	“战斗的是这台自动人偶！”
（ノヴァは俺を指差し<ruby=たんか>啖呵</ruby>を切る。）	（诺瓦指着我，<ruby=たんか>放出狠话</ruby>。）
「お、俺が戦うのかよおおおおおおーーーーッ！！？？」	“我、我来战斗吗啊啊啊啊——！！？？”
「いや、相手がオートマタなんだから\nこちらもオートマタをぶつけるのが\n正式ロボトルじゃないッスか。」	“不，对手是自动人偶，\n我们当然也该派自动人偶迎战，\n这才是正式的机器人对战吧。”
「いや、ロボトルとか言うな！色々危ないワードだ！\nっていうかお前もオートマタじゃねぇかッ！」	“不许说什么机器人对战！这词很危险！\n再说你自己不也是自动人偶吗！”
「いいわ。面白い。\nその勝負乗った！」	“好啊，有意思。\n我接受这场对决！”
「いや、お前も乗るなよ！」	“喂，你也别跟着起哄啊！”
「どちらがオートマタの<ruby=そうじゅう>操縦</ruby>が上手いか\n<ruby=しろくろ>白黒</ruby>つけるわよ！ノヴァ！」	“就来比比谁更会<ruby=そうじゅう>操纵</ruby>自动人偶，\n分个<ruby=しろくろ>胜负</ruby>吧！诺瓦！”
「いいですとも！」	“乐意奉陪！”
「何でお前らで勝手に盛り上がってんだよ！」	“你们为什么擅自兴奋起来了！”
アメリア／ノヴァ	艾米莉亚／诺瓦
「いざ<ruby=じんじょう>尋常</ruby>に――――――！」	“那么就<ruby=じんじょう>堂堂正正</ruby>地——！”
「――――――<ruby=きこうしょうぶ>機巧勝負</ruby>ッ！」	“——<ruby=きこうしょうぶ>机巧对决</ruby>！”
（盾守とノヴァは息を合わせて戦いの<ruby=のろし>狼煙</ruby>を上げる。）	（盾守和诺瓦默契十足地拉开了战斗的<ruby=のろし>序幕</ruby>。）
「え？何今の掛け声？」	“诶？刚才那是什么口号？”
「さあ行くわよ！カンタダ！\nあの暴走オートマタに\nあんたのパンチをお<ruby=みま>見舞</ruby>いしてやんなさい！」	“上吧！KANDATA！\n给那台暴走自动人偶\n来一记你的拳头<ruby=みま>见识</ruby>！”
「了解。戦闘を開始します。」	“了解。开始战斗。”
（カンタダは駆け出し、\nこちらに<ruby=とっしん>突進</ruby>してくる…！）	（KANDATA冲了出来，\n向我们<ruby=とっしん>突进</ruby>……！）
「く、来るぞ！\nど、どうするんだノヴァ！？」	“它、它来了！\n诺、诺瓦，怎么办！？”
「当然迎え撃つ！」	“当然是迎击！”
「行けえっ！メタビー！\n<ruby=はんのうだん>反応弾</ruby>だ！」	“上啊！METABEE！\n发射<ruby=はんのうだん>反应弹</ruby>！”
「誰がメタビーだっ！\nっていうか<ruby=はんのうだん>反応弾</ruby>ってどうやって使う――――」	“谁是METABEE啊！\n再说<ruby=はんのうだん>反应弹</ruby>要怎么用——”
（ノヴァの謎の指示にあたふたしていると\nカンタダの右ストレートが<ruby=がんめん>顔面</ruby>にヒットした。）	（我被诺瓦莫名其妙的指示弄得手忙脚乱，\nKANDATA的右直拳便击中了我的<ruby=がんめん>脸面</ruby>。）
「ぐえええええーーーーッ！！！」	“呜诶诶诶诶——！！！”
「よし！クリーンヒット！」	“好！漂亮命中！”
「あ、今調べたらこの機体。\n何も武器付いてないッスね。」	“啊，我刚查了一下这台机体。\n它好像没装任何武器。”
「おいノヴァぁあああッ！！\n適当な事言ってんじゃねー！」	“喂，诺瓦啊啊啊！\n别信口胡说！”
「武器もねーのにどうやって戦うんだよッ！！」	“连武器都没有，叫我怎么战斗啊！”
「武器ならある！」	“武器还是有的！”
「どこに！？」	“在哪儿！？”
「<ruby=おのれ>己</ruby>の<ruby=こぶし>拳</ruby>ッス！」	“就是<ruby=おのれ>自己的</ruby><ruby=こぶし>拳头</ruby>！”
「ふざけんな！」	“开什么玩笑！”
「ふんっ。チームワークがまるでなってないわね。\nそんなんじゃ私達には勝てないわよ！」	“哼，团队合作差得一塌糊涂。\n这样可赢不了我们！”
「行けカンタダ！トドメよ！\nあいつの頭部を潰しなさい！」	“上吧，KANDATA！最后一击！\n把那家伙的头部砸烂！”
「川島さん。ヤツは頭を狙ってくるッスよ。」	“川岛先生，它会瞄准你的头。”
「いや知ってるよ！？\n盾守が馬鹿デカい声で指示してたからね！？」	“我知道啊！？\n盾守刚才可是用超大的声音喊出来了！？”
「目標補足、<ruby=しょうじゅんてっきとうぶ>照準敵機頭部</ruby>。\n左腕アイアンフィスト<ruby=しゃしゅつ>射出</ruby>。」	“锁定目标，<ruby=しょうじゅんてっきとうぶ>瞄准敌机头部</ruby>。\n左臂铁拳<ruby=しゃしゅつ>发射</ruby>。”
（予想通り、カンタダは俺の頭部目掛けて\n左ストレートを繰り出してくる。）	（不出所料，KANDATA朝我的头部\n挥出了左直拳。）
（俺はすかさずしゃがんで拳を回避し――――）	（我连忙蹲下躲过拳头——）
（カウンターのアッパーカットを\nカンタダの顔面に叩きこんだ。）	（随后以一记反击上勾拳，\n狠狠砸中KANDATA的脸。）
「……頭部……損傷率１００％……。\n機能……停止……。」	“……头部……损伤率100%……\n功能……停止……”
「な……っ！\nわ、私のカンタダを倒した……っ！？」	“什么……！\n你、你竟然打倒了我的KANDATA……！？”
「―――――作戦通り。」	“——一切尽在计划之中。”
（ノヴァはキメ顔でVサインを出しているが、\nもちろんこいつは何もしていない。）	（诺瓦摆出帅气表情比出V字手势，\n当然，这家伙什么也没做。）
「私が……<ruby=きこうしょうぶ>機巧勝負</ruby>で負けた……？」	“我……竟然输掉了<ruby=きこうしょうぶ>机巧对决</ruby>……？”
「そんな……せっかくユートからもらったカスタム機を……っ！\nこんな<ruby=しんざんもの>新参者</ruby>の奴等に……っ！」	“怎么会……这可是悠斗送我的定制机……！\n竟然输给这种<ruby=しんざんもの>新手</ruby>……”
「<ruby=きこうしょうぶ>機巧勝負</ruby>の勝敗は\n機体の性能で決まるものでは無いッス。」	“<ruby=きこうしょうぶ>机巧对决</ruby>的胜负，\n并不是由机体性能决定的。”
「機体の性能じゃなかったらなんだっていうのよっ！」	“不由机体性能决定，那由什么决定！”
「勝敗は決めるのは、<ruby=マイスター>操縦者</ruby>とオートマタの熱い魂ッ！\n互いの<ruby=こんぱく>魂魄</ruby>が性能を<ruby=りょうが>凌駕</ruby>するッ！」	“决定胜负的是<ruby=マイスター>操纵者</ruby>和自动人偶炽热的灵魂！\n彼此的<ruby=こんぱく>魂魄</ruby>能够<ruby=りょうが>凌驾</ruby>于性能之上！”
「馬鹿な…っ！\nオートマタに魂なんてあるわけないじゃない…っ！\nあいつらはただの機械なのよ…っ！」	“不可能……！\n自动人偶怎么可能有灵魂……！\n它们不过是机器……”
「もしそう思ってるのなら、\n盾守パイセンは我々に一生勝てない。」	“如果你这么想，\n盾守前辈你一辈子都赢不了我们。”
「――――――ッ！」	“————！！”
「ふざけんな……っ。」	“开什么玩笑……”
「覚えてなさいよ！あんた達！\nこの借りは必ず返してやるからねっ！」	“你们给我记住！\n这笔账我一定会讨回来！”
「バーカバーカ！」	“笨蛋笨蛋！”
（盾守は小学生みたいな捨て<ruby=セリフ>台詞</ruby>を<ruby=は>吐</ruby>くと\n<ruby=いちもくさん>一目散</ruby>に逃げだしていった。）	（盾守像小学生一样丢下一句<ruby=セリフ>台词</ruby>，<ruby=は>吐</ruby>完，\n便<ruby=いちもくさん>一溜烟</ruby>逃走了。）
「ははは。<ruby=おととい>一昨日</ruby>きやがれー。」	“哈哈哈。<ruby=おととい>滚回去</ruby>吧——”
（そして、逃げていく盾守に向かって\n小学生のように<ruby=あお>煽</ruby>り返すノヴァであった。）	（诺瓦也像小学生一样，\n朝逃走的盾守<ruby=あお>挑衅</ruby>回去。）
「いやー。まさに我々の<ruby=ちえ>知恵</ruby>と<ruby=ゆうき>勇気</ruby>で\n掴み取った大勝利でしたなー。」	“哎呀，这正是靠我们的<ruby=ちえ>智慧</ruby>与<ruby=ゆうき>勇气</ruby>\n赢来的大胜利啊——”
「だからお前は何もして………、」	“都说了你根本什么都没做……”
「あ……れ………？」	“咦……？”
（まったく戦闘の役に立ってないノヴァに\n文句の一つでも言ってやろうとしたその時、）	（就在我想对完全没帮上战斗的诺瓦\n抱怨几句时，）
（俺の意識は遠のき、そのまま地面に倒れ込んだ。）	（我的意识逐渐远去，就这样倒在了地上。）
「機体損傷率９０％オーバー。稼働限界です。\n直ちに緊急停止状態に移行します。」	“机体损伤率超过90%，已达运行极限。\n立即切换至紧急停机状态。”
「…………うっ。」	“……呜。”
「こ、ここは………？」	“这、这里是……？”
「目が覚めたようだな。川島。」	“你醒了，川岛。”
「お前は……<ruby=かげやま>影山</ruby>……だったか。」	“你是……<ruby=かげやま>影山</ruby>……对吧。”
「ああ。そしてここは<ruby=せいおうがくえん>聖皇学園</ruby>の科学室。\n私の研究所でもある。」	“没错。这里是<ruby=せいおうがくえん>圣皇学园</ruby>的科学教室，\n也是我的研究所。”
「君は<ruby=たてがみ>盾守</ruby>との<ruby=きこうしょうぶ>機巧勝負</ruby>の後、\n機体の<ruby=ちくせき>蓄積</ruby>されたダメージが稼働限界を越え\n機能停止に至ったのだ。」	“你和<ruby=たてがみ>盾守</ruby>进行<ruby=きこうしょうぶ>机巧对决</ruby>后，\n机体的<ruby=ちくせき>累积</ruby>损伤超过运行极限，\n最终停止了运作。”
「ユリヒメの斬撃に加え、\nカンタダのアイアンフィストをまともに受けたのだ。」	“你先是挨了百合姬的斩击，\n又正面吃下了KANDATA的铁拳。”
「非戦闘型の<ruby=サイファー>CIPHER</ruby>-09では機体が持たないだろう。」	“以非战斗型<ruby=サイファー>CIPHER</ruby>-09的机体，当然承受不住。”
「ゆえに１３号に君をここへ運ばせ、\n私が修理をしたというわけだ。」	“所以我让13号把你运到这里，\n然后替你修理了机体。”
「えっへん。感謝してもらおう。」	“哼哼，记得感谢我。”
（何故かノヴァは得意げに胸を張っていた。）	（不知为何，诺瓦得意地挺起了胸膛。）
（……そうだ。俺は確か。）	（……对了，我记得。）
「そうさ。元々僕はオートマタ。\n今君が使っていてる機体の持ち主さ。」	“没错。我本来就是自动人偶，\n正是你现在使用的这具机体的原主人。”
「君達に破壊され機能停止寸前だった僕に\n運の良い事に天の恵みがあってね。」	“我被你们破坏，濒临停止运作，\n幸好得到了上天的恩赐。”
「ユ、ユリ姉……っ。\nうう……っ。どう……して……っ。」	“百、百合姐……\n呜呜……为什么……”
「どうして……俺以外のヤツに\n寝取られちまったんだよぉおおおーーーッ！！！\nうわあああーーーーーーんッ！！！」	“为什么……偏偏被别人\n抢走了啊啊啊————！！\n呜哇啊啊啊————！！！”
「いかん。川島の<ruby=かんじょうせいぎょきこう>感情制御機構</ruby>に異常を検知。\n一体、何に動揺しているというのだ。」	“不妙。检测到川岛的<ruby=かんじょうせいぎょきこう>情感控制机构</ruby>异常。\n他究竟在为什么动摇？”
「あーあ。ユリせんせー取られたの\n思い出しちゃったッスねー。」	“唉——他想起百合老师\n被抢走的事了。”
「なるほど。\n攻略対象のヒロインをライバルに奪われる事で\n<ruby=しっと>嫉妬</ruby>や<ruby=しょうしん>傷心</ruby>をするというやつか。」	“原来如此。\n也就是攻略对象的女主被情敌夺走后，\n会产生<ruby=しっと>嫉妒</ruby>和<ruby=しょうしん>伤心</ruby>。”
「確かに我々のバイブルである恋愛シミュレーションゲームでも\n<ruby=バッドエンド>BADEND</ruby>へのルートだとそういった展開も起こり得る。」	“确实，即使在我们的圣经——恋爱模拟游戏中，\n走向<ruby=バッドエンド>BADEND</ruby>的路线也可能出现这种展开。”
「川島にとって今のこの状況がBADENDへと向かう\n絶望的な状況という事か。」	“也就是说，对川岛而言，现在的情况\n正是走向BADEND的绝望处境。”
「しかし、攻略対象は学園アイドルの５人のはず。\nなぜ獅堂や盾守には反応せずユリヒメにだけ\n精神的ダメージが発生するのだ？」	“但是，攻略对象应该是五位学校偶像。\n为什么狮堂和盾守没有反应，\n只有百合姬造成了精神伤害？”
「そりゃ、川島さんが重度のシスコンだからッスよ。\nもの心付いた時からお姉ちゃんお姉ちゃんってベタベタしてりゃ\nこういう面倒臭い事になるんスよ。」	“那当然是因为川岛先生是重度姐控。\n从懂事起就一直黏着姐姐喊个不停，\n当然会变成这种麻烦的情况。”
「そうか。これは川島の心の<ruby=やまい>病</ruby>という事か。」	“原来如此。这就是川岛的心<ruby=やまい>病</ruby>。”
「ええ。もはや手遅れで治療は不可能ッスけどね。」	“没错。不过已经病入膏肓，没法治了。”
<Off><Character=メカユート>片目3	<Off><Character=メカユート>单眼3
「……お前ら。人がこんなにも\n傷つき落ち込んでるというのに\n<ruby=われかん>我関</ruby>せず言いたい放題言いやがって。」	“……你们两个。明明我都已经\n伤心得如此严重了，\n你们却<ruby=われかん>毫不在意</ruby>，想说什么就说什么。”
「少しは優しい言葉の一つでも\n掛けてくれてもいいんじゃねーの？」	“就不能稍微说句温柔的话\n安慰我吗？”
「川島さん。そうやって弱音を吐いて泣き叫んで\n誰かに<ruby=なぐさ>慰</ruby>めてもらおうとしてるの\nカッコ悪いと思わないんスか？」	“川岛先生。像这样诉苦哭喊，\n想让别人<ruby=なぐさ>安慰</ruby>你，\n不觉得很难看吗？”
「何故自分自身で立ち上がり、\nあのフェイリクスからユリせんせーを取り戻そうとしないんスか？\nそれでも男ッスか？」	“为什么不靠自己站起来，\n从费利克斯手中夺回百合老师？\n这样还算男人吗？”
<Off><Character=メカユート>片目	<Off><Character=メカユート>单眼
「……おいおい説教かよ。\nやめてくれよ。俺は被害者だぜ？」	“……喂喂，开始说教了？\n饶了我吧，我可是受害者。”
「あの偽物野郎に身体を乗っ取られて、\nこんな機械の身体にされちまってよ。」	“我被那个冒牌货夺走身体，\n还被变成了这副机械躯体。”
「<ruby=あげく>挙句</ruby>の果てには俺の身体を使って\nユリ姉を寝取り、イチャイチャパラダイスを\n見せつけてきやがるんだ。」	“<ruby=あげく>结果</ruby>他还用我的身体\n抢走百合姐，\n在我面前上演卿卿我我的天堂。”
「こんなにも不幸な事があるか？\n一体、俺が何したっていうんだよ。\n泣きっ<ruby=つら>面</ruby>に<ruby=はち>蜂</ruby>とはまさにこの事だ。」	“世上还有比这更不幸的事吗？\n我究竟做错了什么？\n这正是<ruby=つら>哭丧着脸</ruby>又<ruby=はち>遇上蜂</ruby>啊。”
「俺のライフポイントは既にゼロ。\n心も身体も脳も破壊された。」	“我的生命值已经归零。\n心灵、身体和大脑全都被摧毁了。”
「そんな死に<ruby=たい>体</ruby>の俺に対して根性無しと<ruby=ののし>罵</ruby>るのか？\n血も涙もねーな。お前は。\n死体蹴りもいいところだぜ。」	“对我这个半死不活的<ruby=たい>身体</ruby>，你还要<ruby=ののし>骂</ruby>我没骨气？\n你真是冷酷无情。\n这简直是在踢尸体。”
<Off><Character=メカユート>怒り2	<Off><Character=メカユート>愤怒2
「あーあ。なんで今俺の側に居るのが\nよりによってノヴァなんだよ。\nユリ姉だったらどんなによかった―――――、」	“唉——为什么现在陪在我身边的\n偏偏是诺瓦啊。\n如果是百合姐该多好——————”
（どうしようも無い<ruby=いきどお>憤</ruby>りをぶつけていると\n<ruby=とつじょ>突如</ruby>ノヴァの<ruby=てっけん>鉄拳</ruby>が顔面に直撃した。）	（我正发泄着无处宣泄的<ruby=いきどお>愤怒</ruby>，\n诺瓦的<ruby=とつじょ>突然</ruby><ruby=てっけん>铁拳</ruby>就正面击中了我的脸。）
（<ruby=ぜんしんこうてつ>全身鋼鉄</ruby>の俺の身体は\nゴムボールのように弾け飛び\n科学室の壁に勢いよく突っ込む。）	（我的<ruby=ぜんしんこうてつ>全身钢铁</ruby>身体\n像橡皮球一样弹飞，\n狠狠撞进科学教室的墙里。）
「頭部損傷率６５％。\n<ruby=えんざんのうりょくていか>演算能力低下</ruby>。<ruby=しかくしょうがいはっせい>視覚障害発生</ruby>。」	“头部损伤率65%。\n<ruby=えんざんのうりょくていか>运算能力下降</ruby>。发生<ruby=しかくしょうがいはっせい>视觉障碍</ruby>。”
「テ、テメェ、ノヴァッ！！\nいきなり何しやがるッ！！」	“你、你这家伙，诺瓦！！\n突然动手干什么！”
「俺の身体がオートマタじゃなかったら\n今頃、頭がポップコーンみてーに<ruby=はれつ>破裂</ruby>してたぞッ！？」	“要不是我的身体是自动人偶，\n脑袋现在早就像爆米花一样<ruby=はれつ>炸开</ruby>了！？”
「川島さん。\n今あんたは一番言っちゃいけない事を言ったッス。」	“川岛先生。\n你刚才说了最不该说的话。”
「今のは<ruby=しつげん>失言</ruby>だな。川島。\nあれをヒロイン相手に言えば確実に<ruby=なかたが>仲違</ruby>いが発生し、\n最悪BADEND直行だ。」	“刚才那是<ruby=しつげん>失言</ruby>，川岛。\n对女主说那种话，肯定会导致<ruby=なかたが>关系破裂</ruby>，\n最糟糕的情况就是直达BADEND。”
「しかし、好感度が高い状態であれば\n関係悪化はむしろ<ruby=こうき>好機</ruby>。関係修復した際に\nより大きく仲を深める重要イベントでもある。」	“不过，在好感度很高的情况下，\n关系恶化反而是<ruby=こうき>好机会</ruby>。修复关系时，\n也会成为大幅加深感情的重要事件。”
「だが、こんな序盤で、\nしかも正統派ヒロインとは程遠い13号相手に\n失言するのは<ruby=あくしゅ>悪手</ruby>としか言いようがないぞ。」	“但是在这种序盘，\n而且对着完全不是正统女主的13号\n说出这种失言，只能说是<ruby=あくしゅ>昏招</ruby>。”
「……何で俺はこの<ruby=じょうきょうか>状況下</ruby>で\nギャルゲーの<ruby=しなん>指南</ruby>を受けてるんだ。」	“……为什么我会在这种<ruby=じょうきょうか>情况下</ruby>\n接受美少女游戏的<ruby=しなん>指导</ruby>啊。”
「他のヒロインであれば、今の一言で怒ったり泣いたり\nそれはもう川島さんに<ruby=ばりぞうごん>罵詈雑言</ruby>を浴びせて\n<ruby=はだし>裸足</ruby>で逃げ出す事でしょう。」	“换作其他女主，听到刚才那句话，\n肯定会对川岛先生<ruby=ばりぞうごん>破口大骂</ruby>，\n然后<ruby=はだし>光着脚</ruby>逃走吧。”
「いや、いきなりぶん殴ってきたんだから\n相当怒ってるよね？」	“不是，她刚才可是突然揍了我，\n已经够生气了吧？”
「ですが、自分は<ruby=かんだい>寛大</ruby>な心を持つ大人な女性ッス。\n今の一発でチャラって事にしておいてやるよ。」	“不过，我是个心胸<ruby=かんだい>宽广</ruby>的成熟女性。\n刚才那一拳就算扯平了。”
「……なんで急に上から\n目線で許されたんですかね。俺。」	“……为什么我突然被人\n居高临下地原谅了。”
「いいッスか。川島さん。」	“听好了，川岛先生。”
「確かに今の川島さんの<ruby=きょうぐう>境遇</ruby>はフルボッコで\n打ちのめされ、オーバーキル状態。\n誰かに同情されたくなる気持ちもわかるッス。」	“确实，川岛先生现在的<ruby=きょうぐう>处境</ruby>被打得体无完肤，\n已经是彻底击溃、过度击杀的状态。\n想得到别人的同情，我也能理解。”
「それでも、だからこそ\nそんな辛い現実から目を<ruby=そむ>背</ruby>けず\n自分の足で立ち上がらなければならないんス。」	“即便如此，正因为这样，\n你才更不能<ruby=そむ>逃避</ruby>那残酷的现实，\n必须靠自己的双脚站起来。”
「なぜなら、\nフェイリクスは川島さんを明確に敵視しているから。」	“因为，\n费利克斯把川岛先生明确视为敌人。”
「川島さんの身体を乗っ取り、\n川島さんの大切な人達を奪った。」	“他夺走了川岛先生的身体，\n也夺走了川岛先生珍视的人。”
「それは川島さんに対して\n今この状況において考えうる最大のダメージを与え\n<ruby=しんしんとも>心身共</ruby>に破壊する為。」	“就是为了对川岛先生造成\n在当前情况下所能想到的最大伤害，\n从而彻底摧毁你的<ruby=しんしんとも>身心</ruby>。”
「ヤツの狙いは川島さんなんス。\nだからこそ川島さん自身がフェイリクスと立ち向かい\n奴を倒さなければ一生ユリせんせー達は元に戻らない。」	“那家伙的目标就是川岛先生。\n所以必须由川岛先生亲自面对费利克斯，\n打倒他，否则百合老师她们永远都回不来。”
「<ruby=こく>酷</ruby>な事を言ってるって事はわかってるッス。\nそれでも立ち上がって欲しい。\nそしてフェイリクスと戦ってくださいッス。」	“我知道自己说得很<ruby=こく>残酷</ruby>。\n但我还是希望你站起来。\n然后，请和费利克斯战斗。”
（いつもヘラヘラして雲の掴みどころがないノヴァだが\n今日のノヴァは一味違う。）	（诺瓦平时总是嬉皮笑脸、让人捉摸不透，\n但今天的诺瓦却完全不同。）
（この絶望的な状況を冷静に分析した上で\n自分の中での答えを<ruby=みちび>導</ruby>き出し\n真剣な<ruby=まなざ>眼差</ruby>しで俺に問いかける。）	（她冷静分析了这绝望的状况，\n<ruby=みちび>得出</ruby>自己心中的答案，\n用认真的<ruby=まなざ>目光</ruby>向我发问。）
（弱音も<ruby=ごまか>誤魔化</ruby>しも効かないノヴァの\n真剣な<ruby=たたず>佇</ruby>まいを目の当たりにし\n俺はいつになく冷静になる事ができた。）	（亲眼看到诺瓦那副不容我示弱、也不容我<ruby=ごまか>敷衍</ruby>的\n认真<ruby=たたず>姿态</ruby>，\n我反而前所未有地冷静了下来。）
（自分が今何をすべきか考えられるほどに。）	（冷静到足以思考自己现在该做什么。）
（―――――――そして、<ruby=けつだん>決断</ruby>する。）	（―――――――然后，我做出了<ruby=けつだん>决定</ruby>。）
「………なるほどな。」	“………原来如此。”
「つまり、フェイリクスをぶっ飛ばさない限り\n俺の身体もユリ姉も帰って来ないって事だろ？」	“也就是说，只要不把费利克斯打飞，\n我的身体和百合姐就都回不来，对吧？”
「<ruby=さよう>左様</ruby>。」	“<ruby=さよう>正是</ruby>。”
「だったら、答えは一つだ。」	“那答案就只有一个。”
「――――――フェイリクスをぶちのめす。」	“――――――把费利克斯揍趴下。”
「――――――俺とユリ姉の青春を取り戻す為に。」	“――――――为了夺回我和百合姐的青春。”
「……言えたじゃねぇか。」	“……这不是说出来了吗。”
「それでこそ川島さんッス。」	“这才像川岛先生。”
